name,party_id,startDate,endDate
חנה למדן,,1951-08-20T00:00:00,1955-08-15T00:00:00
מקסים לוי,,1999-07-20T00:00:00,2002-06-05T00:00:00
יגאל כהן,,1984-03-12T00:00:00,1984-08-13T00:00:00
ישראל בר-יהודה,,1955-08-15T00:00:00,1955-11-03T00:00:00
אריה בן-אליעזר,,1955-08-16T00:00:00,1959-11-30T00:00:00
אריה בן-אליעזר,,1959-12-08T00:00:00,1961-09-04T00:00:00
אריה בן-אליעזר,,1961-09-04T00:00:00,1965-11-22T00:00:00
אריה בן-אליעזר,,1965-11-22T00:00:00,1969-11-17T00:00:00
אריה בן-אליעזר,,1969-11-17T00:00:00,1970-01-29T00:00:00
חיים אריאב,,1955-08-15T00:00:00,1957-06-16T00:00:00
בבה אידלסון,,1955-08-15T00:00:00,1959-11-30T00:00:00
בבה אידלסון,,1960-08-04T00:00:00,1961-09-04T00:00:00
בבה אידלסון,,1961-09-04T00:00:00,1965-11-22T00:00:00
מאיר שטרית,,1996-06-24T00:00:00,1999-02-23T00:00:00
אברהם בורג,,1999-06-07T00:00:00,2003-02-17T00:00:00
אלי בן-מנחם,,1999-11-17T00:00:00,2003-02-17T00:00:00
שלמה בן-עמי,,1999-06-07T00:00:00,2002-08-11T00:00:00
סאלח טריף,,1999-06-07T00:00:00,2003-02-17T00:00:00
דליה רבין-פילוסוף,,1999-06-07T00:00:00,2003-02-17T00:00:00
יחיאל לסרי,,2001-03-28T00:00:00,2003-02-17T00:00:00
רוני מילוא,,1999-06-07T00:00:00,2003-02-17T00:00:00
איתן כבל,,2001-03-09T00:00:00,2003-02-17T00:00:00
רענן כהן,,1999-06-07T00:00:00,2002-08-21T00:00:00
אפרים סנה,,1999-06-07T00:00:00,2003-02-17T00:00:00
אופיר פינס-פז,,1999-06-07T00:00:00,2003-02-17T00:00:00
דניאל  אוסטר,,1948-05-04T00:00:00,1949-02-14T00:00:00
מרדכי שטנר,,1948-05-04T00:00:00,1949-02-14T00:00:00
אברהם יחזקאל,,1999-06-07T00:00:00,2003-02-17T00:00:00
אלי גולדשמידט,,1999-06-07T00:00:00,2001-02-15T00:00:00
אליהו ברלין,,1948-05-04T00:00:00,1949-02-14T00:00:00
זאב גולד,,1948-05-04T00:00:00,1949-02-14T00:00:00
יצחק גרינבוים,,1948-05-04T00:00:00,1949-02-14T00:00:00
אברהם גרנות,,1948-05-04T00:00:00,1949-02-14T00:00:00
אליהו דובקין,,1948-05-04T00:00:00,1949-02-14T00:00:00
בן-ציון קשת,,1974-02-04T00:00:00,1977-11-30T00:00:00
סעדיה כובאשי,,1948-05-04T00:00:00,1949-02-14T00:00:00
בן-ציון קשת,,1977-02-21T00:00:00,1977-06-13T00:00:00
