,date,file_path,debate_title,country
160,2010-03-25,Data/speeches/UK/rains and Sewers (Transfer Guidance) 2010-03-25.json,Drains and Sewers (Transfer Guidance),2.0
161,2010-03-18,Data/speeches/UK/rink-Driving 2010-03-18.json,Drink-Driving,2.0
162,2010-03-22,Data/speeches/UK/rugs (Young People) 2010-03-22.json,Drugs (Young People),2.0
163,2010-03-24,Data/tmp_text_files/UK/East Croydon Station 2010-03-24.txt,,
164,2010-03-17,Data/speeches/UK/conomic Activity 2010-03-17.json,Economic Activity,2.0
165,2010-03-16,Data/speeches/UK/conomic Growth Forecasts 2010-03-16.json,Economic Growth Forecasts,2.0
166,2010-03-25,Data/speeches/UK/conomy 2010-03-25.json,Economy,2.0
167,2010-03-16,Data/speeches/UK/ducational Standards (City of Westminster) 2010-03-16.json,Educational Standards (City of Westminster),2.0
168,2010-03-22,Data/speeches/UK/gypt 2010-03-22.json,Egypt,2.0
169,2010-03-11,Data/speeches/UK/lectoral Commission Committee 2010-03-11 (1).json,Electoral Commission Committee,2.0
170,2010-03-11,Data/speeches/UK/lectoral Commission Committee 2010-03-11.json,Electoral Commission Committee,2.0
171,2010-03-25,Data/tmp_text_files/UK/Electoral Law Act (Northern Ireland) 1962 (Amendment) Order 2010 2010-03-25.txt,,
172,2010-03-23,Data/speeches/UK/nergy Bill 2010-03-23.json,Energy Bill,2.0
173,2010-03-10,Data/tmp_text_files/UK/Energy Costs (Highlands and Islands) 2010-03-10 (1).txt,,
174,2010-03-10,Data/tmp_text_files/UK/Energy Costs (Highlands and Islands) 2010-03-10.txt,,
175,2010-03-10,Data/speeches/UK/ngagements 2010-03-10.json,Engagements,2.0
176,2010-03-17,Data/speeches/UK/ngagements 2010-03-17.json,Engagements,2.0
177,2010-03-24,Data/speeches/UK/ngagements 2010-03-24 (1).json,Engagements,2.0
178,2010-03-24,Data/speeches/UK/ngagements 2010-03-24.json,Engagements,2.0
179,2010-03-11,Data/speeches/UK/nglish Heritage (Church Repairs) 2010-03-11.json,English Heritage (Church Repairs),2.0
180,2010-03-25,"Data/speeches/UK/nvironment, Food and Rural Affairs 2010-03-25.json","Environment, Food and Rural Affairs",2.0
181,2010-03-18,Data/speeches/UK/nvironmental Civil Sanctions (England) Order 2010 2010-03-18.json,Environmental Civil Sanctions (England) Order 2010,2.0
182,2010-03-23,Data/tmp_text_files/UK/Environmental Civil Sanctions (England) Order 2010 2010-03-23.txt,,
183,2010-03-18,Data/tmp_text_files/UK/Environmental Civil Sanctions (Miscellaneous Amendments) (England) Regulations 2010 2010-03-18.txt,,
184,2010-03-18,Data/speeches/UK/quality and Human Rights Commission 2010-03-18.json,Equality and Human Rights Commission,2.0
185,2010-03-23,Data/speeches/UK/quality Bill 2010-03-23.json,Equality Bill,2.0
186,2010-03-16,Data/speeches/UK/quitable Life 2010-03-16.json,Equitable Life,2.0
187,2010-03-10,Data/tmp_text_files/UK/Estimates Day 2010-03-10.txt,,
188,2010-03-10,"Data/tmp_text_files/UK/Estimates, 2010-11 (Air) Vote A 2010-03-10.txt",,
189,2010-03-10,"Data/tmp_text_files/UK/Estimates, 2010-11 (Navy) Vote A 2010-03-10.txt",,
190,2010-03-10,"Data/tmp_text_files/UK/Estimates, 2010-11, (Army) Vote A 2010-03-10.txt",,
191,2010-03-10,"Data/tmp_text_files/UK/Estimates, Excesses, 2008-09 2010-03-10.txt",,
